id,Algorithm,Environment,Total reward
3,UMDAc,LunarLanderContinuous-v2,-5.512178200709393
3,UMDAc,LunarLanderContinuous-v2,299.3296624932586
3,UMDAc,LunarLanderContinuous-v2,288.345249355688
3,UMDAc,LunarLanderContinuous-v2,287.42487931648884
3,UMDAc,LunarLanderContinuous-v2,189.94627887867028
3,UMDAc,LunarLanderContinuous-v2,221.89950883793938
3,UMDAc,LunarLanderContinuous-v2,157.38782981949726
3,UMDAc,LunarLanderContinuous-v2,287.6362474026442
3,UMDAc,LunarLanderContinuous-v2,304.85065850782166
3,UMDAc,LunarLanderContinuous-v2,-20.63442786120042
3,UMDAc,LunarLanderContinuous-v2,194.6957056500066
3,UMDAc,LunarLanderContinuous-v2,200.60709593596084
3,UMDAc,LunarLanderContinuous-v2,-29.862742942312565
3,UMDAc,LunarLanderContinuous-v2,302.8852975190214
3,UMDAc,LunarLanderContinuous-v2,272.8060474980597
3,UMDAc,LunarLanderContinuous-v2,229.74213864979416
3,UMDAc,LunarLanderContinuous-v2,262.90467478351775
3,UMDAc,LunarLanderContinuous-v2,243.11254785589549
3,UMDAc,LunarLanderContinuous-v2,301.31193381877716
3,UMDAc,LunarLanderContinuous-v2,302.38064040919255
3,UMDAc,LunarLanderContinuous-v2,224.07977267392806
3,UMDAc,LunarLanderContinuous-v2,130.51789278247628
3,UMDAc,LunarLanderContinuous-v2,208.00424262715813
3,UMDAc,LunarLanderContinuous-v2,224.98614324798223
3,UMDAc,LunarLanderContinuous-v2,296.7875823758918
3,UMDAc,LunarLanderContinuous-v2,136.94808701558188
3,UMDAc,LunarLanderContinuous-v2,-20.16615176619542
3,UMDAc,LunarLanderContinuous-v2,166.74581759699026
3,UMDAc,LunarLanderContinuous-v2,91.74425502462934
3,UMDAc,LunarLanderContinuous-v2,216.41216305802837
3,UMDAc,LunarLanderContinuous-v2,249.2237601658571
3,UMDAc,LunarLanderContinuous-v2,140.7876304256949
3,UMDAc,LunarLanderContinuous-v2,-277.01028079886424
3,UMDAc,LunarLanderContinuous-v2,46.797596070491025
3,UMDAc,LunarLanderContinuous-v2,304.48609814445143
